Run,City,System,FailureTime
4,San Jose,Finance,13
4,San Jose,Logistics,13
4,San Jose,Emergency Services,19
4,San Jose,Media,17
4,San Jose,Government Portals,23
5,New York,Power Grid AI,3
5,New York,Internet Backbone AI,8
5,New York,Data Centers,13
5,New York,Hospitals,17
5,New York,Finance,11
5,New York,Logistics,11
5,New York,Emergency Services,25
5,New York,Media,16
5,New York,Government Portals,10
5,Los Angeles,Power Grid AI,5
5,Los Angeles,Internet Backbone AI,7
5,Los Angeles,Data Centers,7
5,Los Angeles,Hospitals,7
5,Los Angeles,Finance,10
5,Los Angeles,Logistics,11
5,Los Angeles,Emergency Services,9
5,Los Angeles,Media,12
5,Los Angeles,Government Portals,14
5,Chicago,Power Grid AI,4
5,Chicago,Internet Backbone AI,9
5,Chicago,Data Centers,8
5,Chicago,Hospitals,17
5,Chicago,Finance,15
5,Chicago,Logistics,18
5,Chicago,Emergency Services,21
5,Chicago,Media,11
5,Chicago,Government Portals,15
5,Houston,Power Grid AI,4
5,Houston,Internet Backbone AI,5
5,Houston,Data Centers,13
5,Houston,Hospitals,13
5,Houston,Finance,13
5,Houston,Logistics,7
5,Houston,Emergency Services,20
5,Houston,Media,19
5,Houston,Government Portals,20
5,Phoenix,Power Grid AI,6
5,Phoenix,Internet Backbone AI,4
5,Phoenix,Data Centers,8
5,Phoenix,Hospitals,12
5,Phoenix,Finance,10
5,Phoenix,Logistics,10
5,Phoenix,Emergency Services,23
5,Phoenix,Media,13
5,Phoenix,Government Portals,18
5,Philadelphia,Power Grid AI,2
5,Philadelphia,Internet Backbone AI,8
5,Philadelphia,Data Centers,15
5,Philadelphia,Hospitals,11
5,Philadelphia,Finance,12
5,Philadelphia,Logistics,13
5,Philadelphia,Emergency Services,26
5,Philadelphia,Media,13
5,Philadelphia,Government Portals,19
5,San Antonio,Power Grid AI,8
5,San Antonio,Internet Backbone AI,10
5,San Antonio,Data Centers,14
5,San Antonio,Hospitals,11
5,San Antonio,Finance,13
5,San Antonio,Logistics,13
5,San Antonio,Emergency Services,20
5,San Antonio,Media,16
5,San Antonio,Government Portals,13
5,San Diego,Power Grid AI,7
5,San Diego,Internet Backbone AI,8
5,San Diego,Data Centers,10
5,San Diego,Hospitals,11
5,San Diego,Finance,10
5,San Diego,Logistics,11
